Unicast lids [0x0-0xaa] of switch guid 0xf4521403005cc310
0x005a 026 : (Channel Adapter portguid guid: r08n01)
0x005b 025 : (Channel Adapter portguid guid: r04n05)
0x005c 025 : (Channel Adapter portguid guid: r07n09)
0x005d 026 : (Channel Adapter portguid guid: r06n02)
0x005e 026 : (Channel Adapter portguid guid: r01n12)
0x005f 007 : (Channel Adapter portguid guid: r03n07)
0x0060 027 : (Channel Adapter portguid guid: MF0;switch-e1b2ec:SX6036/U1)
0x0061 026 : (Channel Adapter portguid guid: r01n04)
0x0062 025 : (Channel Adapter portguid guid: r01n07)
0x0063 014 : (Channel Adapter portguid guid: r03n14)
0x0064 013 : (Channel Adapter portguid guid: r03n13)
0x0065 028 : (Channel Adapter portguid guid: r01n18)
0x0066 025 : (Channel Adapter portguid guid: r04n13)
0x0067 027 : (Channel Adapter portguid guid: r09n12)
0x0068 027 : (Channel Adapter portguid guid: r01n09)
0x0069 028 : (Channel Adapter portguid guid: r04n08)
0x006a 010 : (Channel Adapter portguid guid: r03n10)
0x006b 028 : (Channel Adapter portguid guid: r01n02)
0x006c 027 : (Channel Adapter portguid guid: r05n09)
0x006d 025 : (Channel Adapter portguid guid: r09n16)
0x006e 027 : (Channel Adapter portguid guid: r09n08)
0x006f 026 : (Channel Adapter portguid guid: r01n16)
0x0070 004 : (Channel Adapter portguid guid: r03n04)
0x0071 026 : (Channel Adapter portguid guid: r04n10)
0x0072 028 : (Channel Adapter portguid guid: r04n12)
0x0073 028 : (Channel Adapter portguid guid: r04n04)
0x0074 025 : (Channel Adapter portguid guid: r01n11)
0x0075 001 : (Channel Adapter portguid guid: r03n01)
0x0076 027 : (Channel Adapter portguid guid: r09n04)
0x0077 028 : (Channel Adapter portguid guid: r09n14)
0x0078 025 : (Channel Adapter portguid guid: r01n03)
0x0079 025 : (Channel Adapter portguid guid: r09n06)
0x007a 017 : (Channel Adapter portguid guid: r03n17)
0x007b 027 : (Channel Adapter portguid guid: r01n05)
0x007c 028 : (Channel Adapter portguid guid: r01n10)
0x007d 028 : (Channel Adapter portguid guid: r09n09)
0x007e 012 : (Channel Adapter portguid guid: r03n12)
0x007f 027 : (Channel Adapter portguid guid: r01n17)
0x0080 025 : (Channel Adapter portguid guid: r09n10)
0x0081 028 : (Channel Adapter portguid guid: r09n05)
0x0082 026 : (Channel Adapter portguid guid: r04n02)
0x0083 015 : (Channel Adapter portguid guid: r03n15)
0x0084 025 : (Channel Adapter portguid guid: r04n01)
0x0085 026 : (Channel Adapter portguid guid: r04n14)
0x0086 026 : (Channel Adapter portguid guid: r09n17)
0x0087 027 : (Channel Adapter portguid guid: r04n03)
0x0088 027 : (Channel Adapter portguid guid: r04n11)
0x0089 028 : (Channel Adapter portguid guid: r01n14)
0x008a 027 : (Channel Adapter portguid guid: r04n15)
0x008b 026 : (Channel Adapter portguid guid: r04n18)
0x008c 011 : (Channel Adapter portguid guid: r03n11)
0x008d 025 : (Channel Adapter portguid guid: r09n02)
0x008e 028 : (Channel Adapter portguid guid: r09n01)
0x008f 016 : (Channel Adapter portguid guid: r03n16)
0x0090 008 : (Channel Adapter portguid guid: r03n08)
0x0091 026 : (Channel Adapter portguid guid: r04n06)
0x0092 006 : (Channel Adapter portguid guid: r03n06)
0x0093 002 : (Channel Adapter portguid guid: r03n02)
0x0094 027 : (Channel Adapter portguid guid: r01n13)
0x0095 028 : (Channel Adapter portguid guid: r04n16)
0x0098 026 : (Channel Adapter portguid guid: r01n08)
0x0099 009 : (Channel Adapter portguid guid: r03n09)
0x009a 025 : (Channel Adapter portguid guid: r01n15)
0x009b 027 : (Channel Adapter portguid guid: r04n07)
0x009c 028 : (Channel Adapter portguid guid: r01n06)
0x009d 003 : (Channel Adapter portguid guid: r03n03)
0x009e 025 : (Channel Adapter portguid guid: r04n17)
0x009f 005 : (Channel Adapter portguid guid: r03n05)
0x00a0 027 : (Channel Adapter portguid guid: r01n01)
0x00a1 026 : (Channel Adapter portguid guid: MF0;switch-e1b17c:SX6036/U1)
0x00a2 025 : (Channel Adapter portguid guid: MF0;switch-e68364:SX6036/U1)
0x00a3 028 : (Channel Adapter portguid guid: MF0;switch-e1b324:SX6036/U1)
0x00a6 025 : (Channel Adapter portguid guid: MF0;ibswitch:SX6036/U1)
0x00a9 026 : (Channel Adapter portguid guid: SwitchX -  Mellanox Technologies)
0x00aa 028 : (Channel Adapter portguid guid: MF0;ibleaf1:SX6036/U1)
Unicast lids [0x0-0xaa] of switch guid 0xe41d2d030007e520
0x0002 023 : (Channel Adapter portguid guid: r02n12)
0x0003 021 : (Channel Adapter portguid guid: r02n13)
0x0004 023 : (Channel Adapter portguid guid: r02n08)
0x0005 022 : (Channel Adapter portguid guid: r02n15)
0x0006 022 : (Channel Adapter portguid guid: r02n11)
0x0007 021 : (Channel Adapter portguid guid: r02n09)
0x0008 021 : (Channel Adapter portguid guid: r02n04)
0x0009 022 : (Channel Adapter portguid guid: r02n02)
0x000a 024 : (Channel Adapter portguid guid: r02n06)
0x000b 022 : (Channel Adapter portguid guid: r02n07)
0x000c 024 : (Channel Adapter portguid guid: r02n14)
0x000d 023 : (Channel Adapter portguid guid: r02n16)
0x000e 024 : (Channel Adapter portguid guid: r02n10)
0x000f 023 : (Channel Adapter portguid guid: r02n03)
0x0010 024 : (Channel Adapter portguid guid: r02n01)
0x0011 021 : (Channel Adapter portguid guid: r02n18)
0x0013 021 : (Channel Adapter portguid guid: r06n05)
0x0014 024 : (Channel Adapter portguid guid: r06n16)
0x0015 021 : (Channel Adapter portguid guid: r05n11)
0x0016 024 : (Channel Adapter portguid guid: r06n06)
